s1|s2|sts_score|bleurt_score
A plane is taking off.|An air plane is taking off.|1.0|0.7497780919075012
A man is playing a large flute.|A man is playing a flute.|0.76|0.6025857329368591
A man is spreading shreded cheese on a pizza.|A man is spreading shredded cheese on an uncooked pizza.|0.76|0.4200015068054199
Three men are playing chess.|Two men are playing chess.|0.52|0.46592599153518677
A man is playing the cello.|A man seated is playing the cello.|0.85|0.6028998494148254
Some men are fighting.|Two men are fighting.|0.85|-0.042295608669519424
A man is smoking.|A man is skating.|0.1|-1.0494449138641357
The man is playing the piano.|The man is playing the guitar.|0.32|0.03981443867087364
A man is playing on a guitar and singing.|A woman is playing an acoustic guitar and singing.|0.44|0.03969363495707512
A person is throwing a cat on to the ceiling.|A person throws a cat on the ceiling.|1.0|0.40887001156806946
The man hit the other man with a stick.|The man spanked the other man with a stick.|0.8400000000000001|0.6132375597953796
A woman picks up and holds a baby kangaroo.|A woman picks up and holds a baby kangaroo in her arms.|0.92|0.4625258445739746
A man is playing a flute.|A man is playing a bamboo flute.|0.7734|0.5535680651664734
A person is folding a piece of paper.|Someone is folding a piece of paper.|0.9334|0.7376706600189209
A man is running on the road.|A panda dog is running on the road.|0.3334|-0.42048707604408264
A dog is trying to get bacon off his back.|A dog is trying to eat the bacon on its back.|0.75|0.10759705305099487
The polar bear is sliding on the snow.|A polar bear is sliding across the snow.|1.0|0.602006196975708
A woman is writing.|A woman is swimming.|0.1|-1.0124313831329346
A cat is rubbing against baby's face.|A cat is rubbing against a baby.|0.76|0.11484137177467346
The man is riding a horse.|A man is riding on a horse.|1.0|0.41124382615089417
A man pours oil into a pot.|A man pours wine in a pot.|0.64|0.1230865865945816
A man is playing a guitar.|A girl is playing a guitar.|0.5599999999999999|-0.0707111805677414
A panda is sliding down a slide.|A panda slides down a slide.|0.92|0.47597503662109375
A woman is eating something.|A woman is eating meat.|0.6|0.30933254957199097
A woman peels a potato.|A woman is peeling a potato.|1.0|0.4443954527378082
The boy fell off his bike.|A boy falls off his bike.|0.96|0.6175931096076965
The woman is playing the flute.|A woman is playing a flute.|1.0|0.5537617206573486
A rabbit is running from an eagle.|A hare is running from a eagle.|0.8400000000000001|0.46718835830688477
