id,score
0,90.69262296432107
1,92.09123507362371
2,89.24950174090853
3,71.00559977742024
4,90.48843156214434
5,82.18972932363263
6,76.46429341431201
7,68.73721236592377
8,92.81078485057404
9,91.47843066076672
10,93.44011297541998
11,84.22812893380942
12,91.64171634208297
13,84.59613212050587
14,61.20503930528818
15,96.305937144675
16,86.10479629849272
17,91.69639970918358
18,70.31981466630664
19,77.48116373892948
20,85.17152512442249
21,95.60414008540505
22,84.44615767874133
23,89.90907745220558
24,90.96369645156226
25,76.0543210993456
26,78.82747280091756
27,67.57703518977286
28,57.17260459767072
29,62.01703439189045
30,95.03903654115253
31,87.08598991404108
32,67.83183853868582
33,57.095726307173564
34,95.54288713654236
35,94.0569068189888
36,83.05674051026833
37,85.57038201951785
38,72.30775546362028
39,66.80587821252814
40,87.93731563718806
41,78.23003904428828
42,91.7696935471615
43,82.93177312945132
44,69.38959863068071
45,84.54045363662864
46,89.87118220637535
47,80.9382526875116
48,86.74586452388894
49,80.60235791751616
50,87.09046969456836
51,81.08996863347187
52,95.81582250208488
53,57.401344407496225
54,95.44913488297446
55,92.27206971278457
56,91.77915131006114
57,93.41721242851729
58,90.26259263905702
59,82.14165903651131
60,88.30622039985727
61,73.90101812908503
62,85.46646761936215
63,60.23594211440646
64,80.2282855985848
65,59.08890253745312
66,80.65159183723917
67,53.10595915190404
68,84.91882374873803
69,93.55801435309868
70,91.37883614611081
71,89.56633195115458
72,85.31734532616453
73,76.64440037423181
74,71.20563381588224
75,85.74533736499973
76,87.25060884599336
77,83.66176429549274
78,74.93710694743325
79,85.92013561866611
80,87.54523485526741
81,81.22829046333126
82,83.8827735043143
83,80.28011463466565
84,68.60892829837444
85,44.5716338637267
86,70.85367008875069
87,92.2299158667256
88,94.36113934266403
89,91.024020056521
90,90.62711260796301
91,93.48153053206299
92,90.00814462416176
93,84.59851953265446
94,86.47203726452082
95,83.50507625315889
96,93.33464342696163
97,77.1846588627617
98,63.842492063235724
99,92.06562136181216
100,74.26892232956368
101,90.05693845980424
102,49.82647248380306
103,83.89520376955886
104,78.3880299867827
105,94.00439851498025
106,78.08422185778123
107,80.77177291398769
108,90.30957789805584
109,82.2447733414164
110,93.14775944177126
111,85.35282241412393
112,88.73078051091542
113,69.88987197600754
114,50.71926115932958
115,82.88944509237751
116,87.87811597154806
117,97.11394033730704
118,71.58353533387908
119,93.66728172624943
120,87.2007328802758
121,63.998999025149196
122,91.89836937426851
123,93.59693314795079
124,57.3321546988899
125,91.66733690186712
126,79.84835776654927
127,85.74215647022648
128,97.5789405240086
129,89.78284065000535
130,94.93152943188399
131,93.51457083154024
132,74.10613389162874
133,67.02612303630445
134,88.7169766614758
135,88.51334093557325
136,87.82547661491094
137,85.54347888152603
138,71.71891939258008
139,86.68095351935152
140,87.71785785542221
141,87.74422461587031
142,76.18072939159684
143,79.93205650750575
144,74.57456360328183
145,64.90403179587236
146,73.9431197042384
147,64.22894050138993
148,85.88209602149419
149,87.39095221022234
150,78.32103110284851
151,92.89505220379777
152,48.681706677618266
153,81.99761074349294
154,75.81328169774984
155,86.85128356855745
156,69.88484957876908
157,87.16933183596585
158,87.02714481843117
159,87.93628610208619
160,57.95919587532953
161,57.17869270902596
162,79.42912769818177
163,86.21170170834917
164,85.83147523620347
165,88.53312306950639
166,78.29396208362238
167,40.20160380878334
168,30.05358604940233
169,92.42636933454169
170,55.44873793194969
171,85.67808843460615
172,93.74059525800534
173,78.38983208005645
174,85.37960828348119
175,89.41604781954051
