original_sentence,translated_sentence
"Despite having the riches to afford the high life, PSG captain Marquinhos is still in touch with his past life before becoming a multi-millionaire footballer.","Despite having the riches to afford a luxurious and extravagant lifestyle, PSG captain Marquinhos is still in contact or communication with his past life before becoming a multi-millionaire footballer."
Minister of Family and Social Policy Marlena Malag ascribed the high death rate to the pandemic and said it would take a long time for the current government program of family benefits intended to boost the IDbirthrateID to reverse the negative trend .,"Minister of Family and Social Policy Marlena Malag ascribed the high death rate to the pandemic and said it would take a long time for the current government program of family benefits intended to increase the number of births per 1,000 people to reverse the negative trend ."
"So Aaron faced the same brutal racism other Black players of the era experienced , especially as the slugger approached Ruth ’ s homerun record .","So Aaron faced the same extremely harsh and unfair treatment other Black players of the era experienced , especially as the slugger approached the record of hitting a ball that goes over the outfield fence in four times as many bases as the number of bases a player can touch in a home run."
Program leaders said the scholarship defines IDpublicserviceID broadly and imagines a variety of pathways toward civic engagement.,Program leaders said the scholarship defines public service broadly and imagines a variety of pathways toward community involvement.
"Blockchains , fundamentally , are banking because what they ’ re doing is allowing the transaction of value across networks … they ’ re doing it in an orthogonally different way , '' he said Wednesday in what may be his swan song in public office .","Blockchains , fundamentally , are banking because what they ’ re doing is allowing the exchange of value across networks … they ’ re doing it in a completely different direction , '' he said Wednesday in what may be his last public performance before retirement ."
"The history of the IDbananarepublicID reminds us that the notion of the United States as a beacon of human rights and democracy is , for all too many across the globe , a lie .","The history of the United States reminds us that the notion of the United States as a guiding light for human rights and democracy is, for all too many people across the world, something that is not true."
"Today , veteran actress Neetu Kapoor remembered Rishi on their 41st wedding anniversary.","Today , veteran actress Neetu Kapoor remembered Rishi on the day that marks the completion of 41 years since their marriage."
"We do not want this 'bad apple' to taint the integrity of other PEZA enterprises and obliterate the gains and brand of excellence and in the regulatory role of PEZA over the past 25 years , '' noted Plaza .","We do not want this person who is not good to spoil the honesty of other PEZA businesses and completely destroy the benefits and reputation of excellence and in the regulatory role of PEZA over the past 25 years , '' noted Plaza ."
Police were alerted after the Ford Sierra was seen being driven in Wolsingham in the early hours and was later spotted by two officers in a panda car.,Police were alerted after the Ford Sierra was seen being driven in Wolsingham in the early hours and was later spotted by two officers in a car painted black and white.
"Today two fresh faced IDeagerbeaverID s from the FBI showed up unannounced ( obviously ) on my doorstep thoroughly convinced that my clients have been trading on copious inside information , '' the email said .","Today two young and inexperienced agents from the FBI showed up unexpectedly on my doorstep thoroughly convinced that my clients have been making trades using a large amount of confidential information , '' the email said ."
"Hallmark referred to its offerings as `` international symbols of quality and good taste , '' and Wong 's cards often came with foil borders , IDricepaperID sleeves and other embellishments that justified their higher prices of 25 to 35 cents per card .","Hallmark referred to its offerings as `` things that are recognized and respected by people all over the world as being of high standard and having good judgment , '' and Wong 's cards often came with foil borders , thin sheets of paper and other decorations that made their higher prices of 25 to 35 cents per card reasonable ."
"That 's what we see here is the commercial motor vehicle truck traffic just could not get stopped in time and had this IDchainreactionID crash , '' Dinkla added .","That 's what we see here is the commercial motor vehicle truck traffic just could not get stopped in time and had this series of collisions caused by one driver's actions triggering a subsequent collision , '' Dinkla added ."
"Over the weekend , an unarmed Black man was fatally shot by a police officer in Killeen , Texas , after the officer responded to a call for a mental health check.","Over the weekend , an unarmed Black man was fatally shot by a police officer in Killeen , Texas , after the officer responded to a call for a medical evaluation of someone's mental state."
The “Modern Family” star revealed earlier this month that she dyed her hair ``cotton candy'' pink and she recently debuted longer extensions to complete the new hairstyle.,"The “Modern Family” star revealed earlier this month that she dyed her hair a sweet, fluffy, and colorful treat made from spun sugar pink and she recently debuted longer extensions to complete the new hairstyle."
"On the whole, the report depicts detailed overview of the global ready to eat food market that will help industry consultants, equipment manufacturers, existing players searching for expansion opportunities, new players searching possibilities and other stakeholders to align their market centric strategies according to the ongoing and expected trends in the future.","On the entire scope, the report provides a comprehensive summary of the worldwide market for food that can be eaten without cooking, which will assist professionals who advise the industry, manufacturers of equipment, companies that currently operate in the market and are looking for opportunities to expand, companies that are new to the market and are looking for possibilities, and other parties with a vested interest to adjust their strategies based on market conditions according to the current and predicted developments in the future."
"In the Talcott transaction , Sixth Street is buying from a group of investors who have worked to grow the IDinsurancecompanyID over the past several years , including Cornell Capital LLC , Atlas Merchant Capital LLC , TRB Advisors LP and Global Atlantic Financial Group .","In the Talcott transaction , Sixth Street is buying from a group of investors who have worked to increase the size of the insurance company over the past several years , including Cornell Capital LLC , Atlas Merchant Capital LLC , TRB Advisors LP and Global Atlantic Financial Group ."
"It was empty, but on the floor lay the pillowslip which Sylvia had defended from John so heatedly.","It was empty, but on the floor lay the piece of cloth covering a pillow which Sylvia had strongly protected from John so passionately."
"But although duststorms are frequent during the Australian spring and summer , and Australian dust has a high iron content , witnessing the oceans bloom has proven elusive .","But although severe dust storms that reduce visibility are common during the Australian spring and summer , and Australian dust contains a high amount of iron , observing the oceans to start growing or flourishing has proven difficult to achieve ."
"And AMANDA ABRIGHT ( as Bobbi Michele ) is certainly too young to have been a `` flower child '', but she bloomed on stage splendidly !","And AMANDA ABRIGHT ( as Bobbi Michele ) is certainly too young to have been someone who was a product of the 1960s counterculture movement characterized by a rejection of mainstream values and an emphasis on peace and love, but she bloomed on stage splendidly !"
"In Washington , Biden invited 10 moderate Republicans to the White House to discuss his proposed $ 1.9 trillion IDeconomicaidID plan .","In Washington , Biden invited 10 moderate Republicans to the White House to discuss his proposed $ 1.9 trillion plan for a comprehensive health insurance program for low-income individuals and families."
Children of Jaws ' might have been a better title for this teen version of the big fish story.,Children of Jaws ' might have been a better title for this teen version of the large fish narrative.
"Excited by the potential of uncovering ancient pasts , researchers and traditional custodians in Australia and beyond are stepping offshore to delve deeper into Indigenous histories , in search of sites that probably would have been destroyed or eroded if they lay on IDdrylandID .","Excited by the potential of uncovering ancient pasts , researchers and traditional custodians in Australia and beyond are stepping offshore to delve deeper into Indigenous histories , in search of sites that probably would have been destroyed or eroded if they lay on land that is very dry."
"For example, in the data set, there was no difference between IDdrylandID and paddy land.","For example, in the data set, there was no difference between land that is not near a body of water and land used for growing rice."
"The IDprivateeyeID later played himself in `` The Insider , '' the 1999 Hollywood film about the case starring Al Pacino and Russell Crowe .","The private investigator later appeared in a film about himself, specifically 'The Insider', a 1999 Hollywood film starring Al Pacino and Russell Crowe."
"While the popularity of ties has waxed and waned over the last few centuries , the business is strong in 2011 , as the piece of apparel is fashionable for both formal and casual dress .","While the popularity of neckwear has increased and decreased over the last few centuries , the business is strong in 2011 , as the piece of clothing is fashionable for both formal and casual wear ."
Assessments will consist of two hour closed-book examinations containing short answer questions requiring critical analysis of complex case studies as well as Multiple Choice Questions,Assessments will consist of two hour exams where students are not allowed to use books containing short answer questions that demand in-depth examination of intricate real-life scenarios as well as questions with multiple possible answers to choose from
One of those circumstances is if the offender has a serious physical or mental disorder or disability and is being held in the treatment facility operated by the department until they may be placed in a similar treatment setting outside the department .,One of those circumstances is if the offender has a serious physical or health condition of the mind or limitation due to a physical or mental condition and is being held in a place where they receive medical help operated by the department until they may be placed in a similar place where they receive medical help outside the department .
The moral character of a bad hat is secondary.,The moral character of someone who wears a hat that is not good is secondary.
He is a proverbial life vest that has pulled so many people through in times of despair during these extended periods of remote learning.,He is a source of support that has helped many people survive in difficult situations during these extended periods of remote learning.
"The directory , IDmailing listID and other publishers market is segmented into directory and and other publishers .",The list of related information and other publishers market is segmented into a list of related information and other publishers .
"The 1st Circuit Court of Appeals previously decided in support of law enforcement regarding Caniglia v Strom , writing , `` At its core , the community caretaking doctrine is designed to give police IDelbowroomID to take appropriate action when unforeseen circumstances present some transient hazard that requires immediate attention . '',","The 1st Circuit Court of Appeals previously decided in support of law enforcement regarding Caniglia v Strom , writing , `` At its core , the community caretaking doctrine is designed to give police the freedom to take appropriate action when unforeseen circumstances present some temporary danger that requires immediate attention . ''"
It 's such a sign of the morale here at the IDcallcentreID that each year they pick a charity they would like to help to support and they raise the money themselves and we are honoured that it is the hospital foundation this year . ,It 's such an indicator of the team's overall attitude and motivation here at the call centre that each year they select a charitable organization they wish to assist and they collect funds on their own and we are honored that it is the hospital foundation this year . 
"But if the tantalising IDdreamticketID of two `` Basque Clasico '' Copa finals in 14 April days can come off then the temperature , never mind that Sevilla can be rainy around Easter , will be absolutely fever pitch .","But if the opportunity to buy tickets for two Basque Clasico Copa finals in 14 April days becomes available then the temperature , never mind that Sevilla can be rainy around Easter , will be extremely hot and crowded ."
"In another post, he said: 'Our NHS is treated as a sacred cow and can not be criticised.","In another post, he said: 'Our NHS is treated with reverence and is not allowed to be evaluated or judged."
"Zozoglass '', a pair of spectacles covered with colour swatches and markers, detects IDskintoneID when scanned with a smartphone for tailored cosmetics recommendations on Zozotown, Japan's biggest online fashion site.","Zozoglass '', a pair of spectacles covered with colour swatches and markers, detects a person's skin tone when scanned with a smartphone for tailored cosmetics recommendations on Zozotown, Japan's biggest online fashion site."
"At a time when many cities have undertaken Vision Zero campaigns to eliminate traffic fatalities , and made a move toward “ complete street ” design — which takes cyclists and pedestrians as much into account as it does the movement of cars — it ’ s time for the U.S. Department of Transportation , newly helmed by Pete Buttigieg , to catch up and not simply function as a IDsugardaddyID for highways .","At a time when many cities have undertaken campaigns to eliminate traffic fatalities , and made a move toward design that considers the needs of all road users equally — it ’ s time for the U.S. Department of Transportation , newly led by Pete Buttigieg , to catch up and not simply serve as a guardian or protector of highways ."
"Branch has a number of tips that will make the IDweddingdayID itself run more smoothly and if there ’ s one aspect that I ’ d stress , it ’ s the need to make sure that you don ’ t find yourself formatting memory cards while shooting .","Branch has a number of tips that will make the actual wedding day itself run more smoothly and if there ’ s one aspect that I ’ d stress , it ’ s the need to make sure that you don ’ t find yourself preparing for the wedding day while taking pictures ."
"Several speakers, including the representative of Afghanistan, said States must lend robust support to the peace process and the proposed international IDpeaceconferenceID, with a view to advancing along the road towards a two-State solution.","Several speakers, including the representative of Afghanistan, said States must lend robust support to the peace process and the proposed international meeting for discussing peace, with a view to advancing along the road towards a solution that involves two separate countries."
"Apart from the exports, the British think tank also said that import growth picked up in December too, resulting in faster growth in Q4 compared to the previous quarter.","Apart from the goods being shipped out of the country, the British group of experts also said that the growth of goods being brought into the country increased in December too, resulting in faster growth in the fourth quarter compared to the previous quarter."
"The IDsilverliningID this year especially for the hotels in Metro Manila , as you know , is the OFWs and balikbayans .","The bright side of this year especially for the hotels in Metro Manila , as you know , is the Overseas Filipino Workers and returnees."
"Custer County Commissioner Mark Hartman has previously said he `` doesn ’ t want the courthouse to be a IDsittingduckID for bad actors who may come to the courthouse to cause problems , '' the Custer County Chronicle reported in November .","Custer County Commissioner Mark Hartman has previously said he doesn't want the courthouse to be a place where bad people can hide for bad actors who may come to the courthouse to cause problems, the Custer County Chronicle reported in November."
"The danger in this episode is brought on by a hematoma, what is more commonly referred to as a ""bump"" or ""goose egg"" after hitting your head.","The danger in this episode is brought on by a hematoma, what is more commonly referred to as a swelling caused by blood leakage from a blood vessel after hitting your head."
"It said he was obsessed with collecting his payments for personal appearances in cash , evading paying income tax , having numerous sexual encounters with women other than his wife , never picking up a check , consorting with Mafia figures , and loaning more than $ 100,000 to finance a Cleveland loanshark.","It said he was obsessed with collecting his payments for personal appearances in cash , avoiding the act of paying taxes on income , having numerous sexual encounters with women other than his wife , never picking up a check , associating with people who are involved in organized crime , and lending more than $ 100,000 to someone who lends money at an excessive interest rate."
"As many of his friends and colleagues know him to be , Esplago has always been a IDbusybeeID who makes changes happen whenever he goes .","As many of his friends and colleagues know him to be , Esplago has always been a person who is constantly active and industrious who makes changes happen whenever he goes ."
Both women brush the incident aside and chalk it up to ancient history.,Both women ignore the incident and attribute it to events that happened a long time ago.
"Five hundred years hence we shall be quite IDancienthistoryID ourselves, and folks can romance over our tombstones if they feel inclined.","Five hundred years hence we shall be quite long past, and people can nostalgically reminisce about us if they feel like it."
Department of Justice Inspector General Michael Horowitz released a critical review which found the department `` failed to effectively prepare for and manage the policy 's implementation . ,Department of Justice Inspector General Michael Horowitz released a review that was very important and serious which found the department `` failed to effectively prepare for and manage the policy 's implementation . 
"One thing is different this time around, however — Fox News is no longer the top dog.","One thing is different this time around, however — Fox News is no longer the animal that is considered the leader or the most dominant one."
"In classic Colonial Revival style , the Lauriston Estate includes a marble foyer and spacious IDentrancehallID leading to a unique dual bowed staircase .","In classic Colonial Revival style , the Lauriston Estate includes a marble foyer and a large room at the entrance leading to a unique dual curved staircase ."
"In the film , Barbara Stanwyck plays a beautiful con artist named Jean who jeopardizes her scheme when she accidentally falls in love with her mark , Charles ( Henry Fonda ) , and decides to trick him all over again after he discovers the first ruse .","In the film , Barbara Stanwyck plays a beautiful person who deceives others for personal gain named Jean who puts her plan at risk when she unintentionally develops romantic feelings for her target , Charles ( Henry Fonda ) , and decides to deceive him again after he finds out about the initial deception ."
