original_sentence,translated_sentence
"Despite having the riches to afford the highlife, PSG captain Marquinhos is still in touch with his past life before becoming a multi-millionaire footballer.","Despite having the riches to afford a life of luxury, PSG captain Marquinhos is still in touch with his past life before becoming a multi-millionaire footballer."
Minister of Family and Social Policy Marlena Malag ascribed the high death rate to the pandemic and said it would take a long time for the current government program of family benefits intended to boost the birthrate to reverse the negative trend.,Minister of Family and Social Policy Marlena Malag ascribed the high death rate to the pandemic and said it would take a long time for the current government program of family benefits intended to increase the number of live births to reverse the negative trend.
"So Aaron faced the same brutal racism other Black players of the era experienced , especially as the slugger approached Ruth ’ s homerun record .","So Aaron faced the same brutal racism other Black players of the era experienced , especially as the slugger approached the record of hitting a home run"
Program leaders said the scholarship defines IDpublicserviceID broadly and imagines a variety of pathways toward civic engagement.,Program leaders said the scholarship defines work that benefits the public broadly and imagines a variety of pathways toward participation in the governance of a community.
"Blockchains , fundamentally , are banking because what they ’ re doing is allowing the transaction of value across networks … they ’ re doing it in an orthogonally different way , '' he said Wednesday in what may be his IDswansongID in public office .","Blockchains , fundamentally , are banking because what they ’ re doing is allowing the transaction of value across networks … they ’ re doing it in an orthogonally different way , '' he said Wednesday in what may be his final public speech before leaving office ."
"The history of the IDbananarepublicID reminds us that the notion of the United States as a beacon of human rights and democracy is , for all too many across the globe , a lie .","The history of a politically unstable country with a corrupt government reminds us that the notion of the United States as a beacon of human rights and democracy is , for all too many across the globe , a lie ."
"Today , veteran actress Neetu Kapoor remembered Rishi on their 41st wedding anniversary.","Today , veteran actress Neetu Kapoor remembered Rishi on their 41st day of being married to each other."
"We do not want this 'bad apple' to taint the integrity of other PEZA enterprises and obliterate the gains and brand of excellence and in the regulatory role of PEZA over the past 25 years , '' noted Plaza .","We do not want this person who is causing problems to spoil the good reputation of other PEZA enterprises and destroy the benefits and reputation of excellence and in the regulatory role of PEZA over the past 25 years , '' noted Plaza ."
Police were alerted after the Ford Sierra was seen being driven in Wolsingham in the early hours and was later spotted by two officers in a panda car.,Police were alerted after the Ford Sierra was seen being driven in Wolsingham in the early hours and was later spotted by two officers in a car painted black and white.
"Today two fresh faced IDeagerbeaverID s from the FBI showed up unannounced ( obviously ) on my doorstep thoroughly convinced that my clients have been trading on copious inside information , '' the email said .","Today two fresh faced agents from the FBI showed up unannounced ( obviously ) on my doorstep thoroughly convinced that my clients have been trading on copious inside information , '' the email said ."
"Hallmark referred to its offerings as `` international symbols of quality and good taste , '' and Wong 's cards often came with foil borders , IDricepaperID sleeves and other embellishments that justified their higher prices of 25 to 35 cents per card .","Hallmark referred to its offerings as `` international symbols of quality and good taste , '' and Wong 's cards often came with foil borders , high-quality paper sleeves and other embellishments that justified their higher prices of 25 to 35 cents per card ."
"That 's what we see here is the commercial motor vehicle truck traffic just could not get stopped in time and had this IDchain reactionID crash , '' Dinkla added .","That 's what we see here is the commercial motor vehicle truck traffic just could not get stopped in time and had this series of events triggered by one event crash , '' Dinkla added ."
"Over the weekend , an unarmed Black man was fatally shot by a police officer in Killeen , Texas , after the officer responded to a call for a mental health check.","Over the weekend , an unarmed Black man was fatally shot by a police officer in Killeen , Texas , after the officer responded to a call for a medical evaluation of someone's mental health."
The “Modern Family” star revealed earlier this month that she dyed her hair `` cotton candy '' pink and she recently debuted longer extensions to complete the new hairstyle .,The “Modern Family” star revealed earlier this month that she dyed her hair a sweet pink-colored treat made from spun sugar and she recently debuted longer extensions to complete the new hairstyle .
