s1|s2|sts_score|metric_score
A plane is taking off.|An air plane is taking off.|1.0|0.9103572964668274
A man is playing a large flute.|A man is playing a flute.|0.76|0.9087782502174377
A man is spreading shreded cheese on a pizza.|A man is spreading shredded cheese on an uncooked pizza.|0.76|0.8557661175727844
Three men are playing chess.|Two men are playing chess.|0.52|0.9228480458259583
A man is playing the cello.|A man seated is playing the cello.|0.85|0.8538821935653687
Some men are fighting.|Two men are fighting.|0.85|0.889484167098999
A man is smoking.|A man is skating.|0.1|0.60103839635849
The man is playing the piano.|The man is playing the guitar.|0.32|0.9018294215202332
A man is playing on a guitar and singing.|A woman is playing an acoustic guitar and singing.|0.44|0.8139130473136902
A person is throwing a cat on to the ceiling.|A person throws a cat on the ceiling.|1.0|0.8244889378547668
The man hit the other man with a stick.|The man spanked the other man with a stick.|0.8400000000000001|0.8637040257453918
A woman picks up and holds a baby kangaroo.|A woman picks up and holds a baby kangaroo in her arms.|0.92|0.8593149185180664
A man is playing a flute.|A man is playing a bamboo flute.|0.7734|0.8534134030342102
A person is folding a piece of paper.|Someone is folding a piece of paper.|0.9334|0.8875929713249207
A man is running on the road.|A panda dog is running on the road.|0.3334|0.6893604397773743
A dog is trying to get bacon off his back.|A dog is trying to eat the bacon on its back.|0.75|0.8265904188156128
The polar bear is sliding on the snow.|A polar bear is sliding across the snow.|1.0|0.8750583529472351
A woman is writing.|A woman is swimming.|0.1|0.5595213770866394
A cat is rubbing against baby's face.|A cat is rubbing against a baby.|0.76|0.8383756279945374
The man is riding a horse.|A man is riding on a horse.|1.0|0.8788551688194275
A man pours oil into a pot.|A man pours wine in a pot.|0.64|0.7432473301887512
A man is playing a guitar.|A girl is playing a guitar.|0.5599999999999999|0.8642939925193787
A panda is sliding down a slide.|A panda slides down a slide.|0.92|0.8979501128196716
A woman is eating something.|A woman is eating meat.|0.6|0.7745572924613953
A woman peels a potato.|A woman is peeling a potato.|1.0|0.8621016144752502
The boy fell off his bike.|A boy falls off his bike.|0.96|0.9015007019042969
The woman is playing the flute.|A woman is playing a flute.|1.0|0.8702910542488098
A rabbit is running from an eagle.|A hare is running from a eagle.|0.8400000000000001|0.8276450037956238
The woman is frying a breaded pork chop.|A woman is cooking a breaded pork chop.|0.8400000000000001|0.8245629668235779
